Cód. Relato,Data Relato,Texto do relato,Resposta,Data Resposta
74.111,29/01/2013,"Relação de Órgãos do Poder Judiciário e outras informações 
 -------------------------
 Prezados, necessito:
 
 1) Relação de órgãos do Poder Judiciário de 2a Instância e Instância Superior em uma planilha bem como neste mesmo documento a relação de endereços e telefone para contato do principal responsável pelo órgão e gestor da área de tecnologia da informação;
 
 2) Número total de funcionários por órgão do Poder Judiciário, inclusive do CNJ e outros conselhos;
 
 3) Lista com nome dos funcionários, órgão que está lotado e telefone. Ou pelo menos, número de funcionários por órgãos pormenorizado ( por departamente ou menor quebra possível) e telefone destes ""departamentos"" ou dos funcionários;
 
 4) Organograma do Poder Judiciário;
 
 Os dados serão utilizados para pesquisa sobre o uso das novas tecnologias na área pública que será realizada pelo Centro de Estudos sobre as obre as Tecnologias da Informação e Comunicação (CETIC.br), órgão de pesquisa do Comitê Gestor da Internet no Brasil (CGI.br).
 
 Estou disponível para qualquer duvida nos contatos deixados.
 
 Att. 
 
 [XXX]","Em atenção a sua manifestação, prestamos informações em relação ao pessoal do Conselho Nacional de Justiça. No que se refere aos demais órgãos do Poder Judiciário, Vossa Senhoria poderá contatar cada órgão, conforme prevê a Lei 12.527/2011, art. 11, § 1º, III, tendo em vista que o CNJ não dispõe desses dados:
 2 e 3) Sugerimos consultar as planilhas disponíveis em Transparência CNJ => Informações sobre pessoal => Listas de servidores; Servidores de outros Órgãos; Empregados terceirizados e Quantitativos de cargos efetivos.
 Os telefones dos setores estão acessíveis em link ""Telefones"" no rodapé da página. Caso necessite de algum número não disponível neste link, pode-se entrar em contato com o telefone 61 2326-4607/4608.
 Acrescentamos que o Diretor de Tecnologia do CNJ é o senhor Bento Gomes Barbosa Júnior, e o telefone do Departamento de TI é 61 2326-5318.
 Permanecemos à disposição.
 Atenciosamente,",13/02/13
74178,29/01/2013,"Acesso às atas de reunião do Grupo de Trabalho de Juízes de Varas de Penas e Medidas Alternativas
 -------------------------
 Boa tarde,
 
 Conforme já havia solicitado no Registro Ouvidoria/CNJ [XXX], em razão das informações prestadas no CNJ Relato [XXX], gostaria de obter acesso às atas de reunião do Grupo de Trabalho de Juízes de Varas de Penas e Medidas Alternativas. Conforme já esclareci anteriormente, busco acesso a esses documentos em razão de uma pesquisa que desenvolvo e não basta o acesso ao teor da Resolução n . 154 de 13/07/2012.
 
 Assim, reitero a solicitação de acesso às atas de reunião do Grupo de Trabalho de Juízes de Varas de Penas e Medidas Alternativas, as quais existem, conforme informado CNJ Relato [XXX].
 
 Agradeço pela atenção e aguardo retorno,
 
 -- 
 [XXX]
 Mestrando em Ciências Criminais (PUCRS)
 Pesquisador [XXX]
 
 
 
 Registro Ouvidoria/CNJ: [XXX]
 Ao Senhor
 [XXX]
 
 
 Sua manifestação foi encaminhada ao Departamento de Monitoramento e Fiscalização do Sistema Carcerário e do Sistema de execução de medidas socioeducativas que prestou a seguinte informação:
 
 ""O resultado das reuniões do referido grupo foi materializado na Resolução n . 154 de 13/07/2012, que pode ser lida acessando o seguinte link: http://www.cnj.jus.br/atos-administrativos/atos-da-presidencia/resolucoespresidencia/20269-resolucao-n-154-de-13-de-julho-de-2012 ""
 
 Atenciosamente,
 
 Ouvidoria
 Conselho Nacional de Justiça
 SEPN 514, bloco B, lote 7, ala B, sala 103¿ 70760-542 ¿ Brasília (DF)
 Telefone: (61) 2326-4607 / 2326-4608
 [ CNJ (logo) ]
 ---------------------------------------------------
 Ouvidoria - CNJ - CNJ Relato: [XXX]
 -------------------------
 Boa tarde,
 Segundo as informações prestadas no Registro Ouvidoria/CNJ [XXX], o Grupo de Trabalho de Juízes de Varas de Penas e Medidas Alternativas, insittiuído a partir da Portaria 46/2011 de 27 de maio de 2011, se reúne quinzenalmente e os resultados ficam registrados em atas de reuniões.
 Gostaria de obter acesso ao conteúdo dessas atas para a pesquisa que venho desenvolvendo no mestrado em Ciências Criminais. É possível obter cópia dos arquivos digitais ou versões digitalizadas das atas?","Em atenção a seu pedido, estamos encaminhando duas atas do grupo de penas e medidas alternativas.
 Atenciosamente,",06/02/2013
74184,29/01/2013,"Lei Maria da Penha
 -------------------------
 Sobre a Lei Maria da Penha, Lei nº 11.340/06, faz-se a seguinte pergunta:
 
 O art. 1º da Lei nº 11.340/06 estabelece a criação de Juizados de Violência Doméstica e Familiar contra a Mulher. Gostaríamos de saber quantos foram instalados em âmbito nacional, com discriminação por local e data de instalação.","Segue informações prestadas pela Comissão de Acesso à Justiça:
 ""O Conselho Nacional de Justiça, após a edição da Resolução n° 128/2011, instaurou procedimento de acompanhamento de resolução, número 0001473-65.2011.2.00.0000, de acesso publico pelo site do CNJ, onde pode ser verificado as informações disponibilizadas pelos Tribunais a respeito da questão arguida.
 Att.,
 Comissão de Acesso à Justiça.""",01/02/2013
74185,29/01/2013,"Lei Maria da Penha
 -------------------------
 Sobre a Lei Maria da Penha, Lei nº 11.340/06, faz-se a seguinte pergunta:
 
 Se há, como nos termos dispostos no art. 32 da Lei nº 11.340/06, a promoção de recursos para a criação e manutenção da equipe de atendimento multidisciplinas pelo Poder Judiciário. Se sim, de quanto é a verba dedicada a tal propósito.","Segue informações prestadas pela Comissão de Acesso à Justiça:
 ""O Conselho Nacional de Justiça editou a Resolução 128, de 17 de março de 2011, determinado a criação de Coordenadorias Estaduais das Mulheres em situaçao de violência domestica e familiar no âmbito dos Tribunais de Justiça dos Estados e do Distrito Federal. Os recursos para criação da equipe de atendimento deve ser verificado em cada Tribunal que detem competencia para disciplinar a promõção de recursos.
 Att.,
 Comissão de Acesso à Justiça""",01/02/2013
74186,29/01/2013,"Lei Maria da Penha
 -------------------------
 Sobre a Lei Maria da Penha, Lei nº 11.340/06, faz-se a seguinte pergunta:
 
 O art. 38 da Lei nº 11.340/06 prevê a criação de um “sistema nacional de dados e informações relativo às mulheres” no âmbito do Sistema de Justiça e Segurança. Foi implementado tal banco de dados? Se sim, como seria possível acessá-lo? Ele está de fato realizando a integração dos dados provenientes dos diversos âmbitos (delegacias especializadas, juizados etc)?","Segue informações prestadas pela Comissão de Acesso à Justiça:
 ""Boa tarde,
 A Comissão de acesso à justiça do CNJ tem se empenhado no intuito de conseguir dados atualizados relativos às mulheres. Informamos que atualmente está sendo realizado pelo Departamento de Pesquisas Judiciárias deste Conselho trabalho relativo à violência domestica contra a mulher. O mencionado trabalho em breve será divulgado. ""
 Atenciosamente,",01/02/2013
74202,30/01/2013,"Improbidade Administrativa
 -------------------------
 Bom dia,
 
 Em 2012 foi realizado um seminário sobre probidade administrativa no STJ, mas com dados concretos e promoção do CNJ. Gostaria de saber se vai ser organizado os anais do evento, pois sou acadêmico do 9º semestre e meu tema de TCC está diretamente relacionado com o seminário. Pelas notícias o evento foi repassado ao vivo online, se tiver a gravação com debates e proposições do seminário ficarei grato
 
 Se tiver algum material pode repassar o link ou carregá-lo via skydrive por e-mail. 
 
 Agradeço a estimada atenção,
 
 
 [XXX]","Em atenção à sua manifestação informamos que não há material acerca do seminário.
 Aproveitamos o oportuno para informar que o resultado desse seminário foi a criação da Meta 18 que irá acelerar os processos de Improbidade Administrativa.
 Agradecemos seu contato e permanecemos à disposição.
 Atenciosamente,",01/02/2013
74230,30/01/2013,"Programa Justiça Plena
 -------------------------
 Relação dos processos encerrados ou em andamento que foram incluídos no programa Justiça Plena do CNJ, criado em novembro de 2010, bem como descriminação detalhada dos andamentos dos processos em tramitação.","Em atenção à sua manifestação, informamos que todos os dados acerca do Justiça Plena podem ser acessados atraves do link http://www.cnj.jus.br/programas-de-a-a-z/eficiencia-modernizacao-e-transparencia/justica-plena.
 Agradeçemos seu contato e permanecemos à disposição.
 Atenciosamente,",01/02/2013
74251,30/01/2013,"DETALHE SOBRE RECLAMAÇÃO DISCIPLINAR 
 -------------------------
 Boa tarde,
 Gostaria de solicitar detalhes de uma reclamação disciplinar que abri no 2ª semestre de 2012 contra o ato de funcionários da 1ª Vara Criminal de [XXX], caso tenha sido gerado, gostaria de receber também o número do processo.","Conforme informações prestadas pela Secretaria Processual, informamos que o procedimento foi autuado como Reclamação Disciplinar [XXX] e a movimentação pode ser acompanhada pela consulta pública disponível no sítio eletrônico do CNJ em: https://www.cnj.jus.br/ecnj/consulta_eproc.php
 Atenciosamente,",07/02/2013
74548,04/02/2013,"Acesso a pessoa natural a processos que não estejam sob sigilo - SISTEMA PROJUDI
 -------------------------
 Pelo presente, venho, mui respeitosamente solicitar informações sobre o acesso a pessoa natural a conteúdo integral de processo eletronico, com base na lei 12.527/2011.
 A resposta me parece obvia, mas gostaria de um posicionamento de Vossa Ouvidoria.
 Aqui no paraná a tramitação de processos ocorre por meio digital, por sistema chamado PROJUDI - ( https://projudi.tjpr.jus.br/projudi/ )
 Como se observa, vide site, este sistema/sitio ainda não contem ferramenta que permita ao cidadão o acesso a processos judiciais. 
 Dessa maneira, o acesso a processos judiciais não reconhecidos como sigilosos podem ser acessados integralmente por qualquer interessado? Assim como ocorre na justiça do trabalho da 9º Região? 
 Caso o referido tribunal não disponha de ferramenta para consulta deverá fornecer loguin e senha para tanto?
 Sem mais, deixo meus respeitosos cumprimentos.
 [XXX]","Em atenção a sua manifestação, de ordem do Conselheiro Ouvidor Wellington Cabral Saraiva, informamos que:
 a) a forma de acesso aos processos judiciais não sigilosos deve ser solicitada, de início, ao próprio Tribunal de Justiça do Estado do Paraná, nos termos do artigo 7.º, inciso I, da Lei de Acesso à Informação (Lei 12.527, de 18 de novembro de 2011); 
 b) na hipótese de o Tribunal de Justiça do Estado do Paraná recusar esse acesso, caberá a Vossa Senhoria, se o desejar, formular requerimento dirigido ao Plenário do Conselho Nacional de Justiça, para exame do ato;
 c) esta Ouvidoria não tem competência funcional para adotar outras medidas neste caso, pois, conforme o artigo 7.º, inciso I, da Resolução 103, de 24 de fevereiro de 2010, do CNJ ( www.cnj.jus.br/res103 ), que rege a atuação da Ouvidoria, esta não pode tomar providências diante de relatos que exijam manifestação do Plenário do Conselho, como é o caso do procedimento de controle administrativo.
 Acrescentamos que o procedimento para formular requerimentos dirigidos ao Plenário do CNJ podem ser obtidos no link www.cnj.jus.br/comopeticionar
 Atenciosamente,",21/02/2013
74721,06/02/2013,"Prazos e metas do Plano de Estatização dos Cartórios privatizados do Rio Grande do Sul
 -------------------------
 Pretende-se com este pedido de informações ter acesso na íntegra à decisão do CNJ que prorrogou o prazo para que o TJ-RS estatize os cartórios privatizados do estado do Rio Grande do Sul (Pedido de Providências (PP-77-58.2008.2.00.0000), assim como o número de varas a serem estatizadas, os prazos e o número de servidores necessários à devida estatização.","Conforme informações prestadas pela Secretaria Processual, informamos que para ter acesso à integra do Pedido de Providências 0000077-58.2008.2.00.0000, é necessário realizar o cadastramento no sistema e-CNJ. As informações de como realizar o cadastro estão disponíveis no sítio eletrônico do CNJ em: https://www.cnj.jus.br/ecnj/listarUsuariosAtivacao.php 
 Atenciosamente,",15/02/2013
74725,06/02/2013,"Atas de reunião do Grupo de Trabalho de Juízes de Varas de Penas e Medidas Alternativas após 29/08/2011
 -------------------------
 Tendo em vista o teor da resposta apresentada no Registro na Ouvidoria do CNJ [XXX], que segue abaixo, gostaria de saber:
 
 a) O Grupo de Trabalho de Juízes de Varas de Penas e Medidas Alternativas teve alguma reunião após 29/08/2011?
 
 b) Caso tenham ocorrido reuniões após 29/08/2011, foram lavradas atas dessas reuniões, a exemplo das já enviadas?
 
 c) Caso existam atas de reuniões realizadas após 29/08/2011, seria possível que fossem encaminhadas cópias digitalizadas por e-mail, a exemplo do que já foi feito em relação às atas de 25/07/2011 e 29/08/2011?
 
 Muito obrigado e aguardo retorno,
 
 
 -- 
 [XXX]
 Mestrando em Ciências Criminais [XXX]
 Pesquisador [XXX]","Em atenção a sua manifestação, conforme informação prestada pelo Departamento de Monitoramento e Fiscalização do Sistema Carcerário, esclarecemos que não há novas atas de reunião do Grupo de Trabalho. 
 Atenciosamente,",13/02/2013
74753,06/02/2013,"Anteprojeto de Lei nº 3409-91.2012.2.00.0000
 -------------------------
 Bom dia,
 
 O plenário do CNJ sobrestou o Anteprojeto de Lei nº 3409-91.2012.2.00.0000, e eu gostaria de saber se o plenário já decidiu tratar essa questão e ter mais informações sobre o processo.
 
 Obrigado,
 
 [XXX].","""De ordem do Conselheiro Carlos Alberto Reis de Paula, informo que o Parecer de Mérito em Anteprojeto de Lei nº 3409-91.2012.2.00.0000, que trata da criação de cargos e funções na Justiça Eleitoral, encontra-se sobrestado por deliberação do Plenário do CNJ, juntamente com os demais processos de mesma natureza.
 Informo, outrossim, que, findas as circunstâncias que ensejaram o sobrestamento, o referido processo será incluído em pauta.
 O Conselheiro Carlos Alberto está ciente da importância da análise do PAM em referência e envidará esforços para o seu regular prosseguimento, tão logo seja possível.
 Atenciosamente,""",06/02/2013
