MANIFESTAÇÃO,DATA DA ENTRADA,DATA DA RESPOSTA,TEOR,RESPOSTA
13,26/5/15,28/05/15,gostaria de saber quantos estágiários o MP possui na cidade de Piracuruca e quando encerra a vigência do contrato de estágio.,"Comunicamos o recebimento de seu pedido de informação ao tempo em que informamos que entramos em contato com o setor deRecursos Humanos deste Ministério, onde nos repassaram que atualmente Piracuruca possui 01 estagiário de direito, e a vigência docontrato será até 2016.Informamos ainda que caso o senhor necessite de mais informações poderá entrar em contato diretamente com o setor citado através doendereço: rua Álvaro Mendes, nº 2294, centro, cep 64000-060, telefone (86) 3216-4550, ramal 4585, Teresina- PI."
14 (Registro 662/2015),11/05/15,15/06/15,"Gostaria, se possível, de fazer o levantamento de algumas informações:
 
 
 1. Número total de integrantes deste MP (considerando membros, servidores, cedidos e comissionados).
 Apenas o quantitativo total, sem nenhuma especificação.
 
 2. Número de servidores do Setor Pessoal/Recursos Humanos, com a discriminação das quantidades em cada subárea (seja divisão, gerência, seção, núcleo, unidade ou setor).
 Ou seja, a estrutura do setor pessoal, quantos servidores atuam em cada subárea do organograma.
  
  
 
 O levantamento está sendo feito para fins de comparação e redimensionamento do Setor Pessoal do MPRN.
 Agradeço a colaboração.","A manifestação em referência foi encaminhada através do Memorando de nº 006/2015-OMP/PI, à Coordenação de Recursos Humanos deste Ministério.
 
 
 
 
 Comunicamos a REITERAÇÃO da manifestação cadastrada nesta Ouvidoria sob o nº de atendimento 662/2015, Processo nº 83186 (Assunto: solicitação de informações) à Coordenação de Recursos Humanos deste Ministério,
 
 Comunicamos o recebimento do Memorando CRH nº 238/2015, da Coordenadoria de Recursos Humanos do MP-PI, o qual trata sobre o pedido de informação nº 662/2015.
 
 Quanto ao item ""1"" de tal pedido, a Coordenadoria de RH informa que o total de integrantes do MP-PI é de 503 (quinhentos e três) dentre membros, servidores, cedidos e comissionados.
 
 Quanto ao item ""2"", segue quantitativo:
 
 Coordenadoria de Recursos Humanos - 03
 Divisão de Administração de Pessoal - 06
 Assessoria Para Pagamento de Pessoal - 01
 Divisão de Cálculo - 01
 Divisão de Bem-Estar e Segurança do Trabalho – 0"
15 (Registro 674/2015),30/05/15,30/06/15,"Requeiro, com fulcro na Lei 12.527/2011, os seguintes dados:1 – Número de representações feitas a este Ministério Público relativas a transgressões aos dispositivos da Lei nº 7716/1989, que ""defineos crimes resultantes de preconceito de raça ou de cor"", ao crime previsto no Artigo 140, §3º (Injúria Racial) bem como do nãocumprimento e/ou transgressões à Legislação Étnico-racial brasileira, no período compreendido entre 2010 até o presente momento.2 – Dados relacionados ao número de oferecimento de denúncias relacionadas aos crimes supramencionados ao Poder Judiciário, bemcomo dos pedidos de arquivamento e de procedimentos em andamento.3 – Dados relacionados ao número de oferecimento de denúncias ao Poder Judiciário relacionadas a mortes decorrentes de intervençãopolicial, processadas no âmbito da atuação do controle externo da Polícia por parte deste MP, bem como dos pedidos de arquivamento eprocedimentos em andamento.","A manifestação em referência foi encaminhada hoje (02/06/2015), através do Ofício nº 159/2015-OMP/PI à Corregedoria-Geral do MP-PI.Comunicamos o recebimento do Ofício nº 1011/2015-CGMP/PI, o qual trata sobre o seu pedido de informação, cadastrado nesta Ouvidoria sob o nº de atendimento 674/2015. No referido Ofício, o Corregedor-Geral Substituto do MP-PI, Dr. Hosaias Matos de Oliveira, comunica que o sistema de relatório de atividades administrado pela Corregedoria-Geral dispõe das informações solicitadas no item 02, coletadas sob a nomenclatura ""crimes resultantes de preconceito de raça e de cor"", implantadas a partir do ano de 2013, de acordo com o anexo."
16 (Registro 687/2015),08/06/15,09/06/15,eu não consegui pegar o cartão aonde vai ser aplicado a prova do estagiário do mp.(Solicitação referente ao cartão de informações das inscrições dos candidatos ao estágio no MPPI.),"No site do Ministério Público do Estado do Piauí foi divulgada ontem (08/06/2015) uma nota informando que os cartões de informação, dosquais constam os locais e os horários de aplicação das provas, já estão disponíveis no sistema específico. Basta que o candidato acesse osistema (http://aplicativos.mppi.mp.br/estagiarios2015) e utilize o login e a senha cadastrados.http://www.mp.pi.gov.br/internet/index.php?option=com_content&view=article&id=4352:processo-seletivo-de-estagiarios-locais-de-prova-ja-estao-disponiveis&catid=224&Itemid=101Para maiores informações, orientamos que V. Sr.ª entre em contato diretamente com o servidor Francisco Carlos, do setor de RecursosHumanos do MP-PI, através do telefone (86)3216-4550 - ramal 4585"
17,02/06/15,01/07/15,"Solicitação de informação referente à parcela autônoma de equivalência- PAE, e valores a serem creditados no nome do manifestante.","Encaminhado Memorando de nº 008/2015 à Coordenação de Orçamento e Finanças do Ministério Público do Estado do Piauí. Reiterada solicitação através do Memorando de nº 009/2015 à supracitada Coordenação. Recebido Memorando de nº 78/2015 advindo da Coordenação de Contabilidade e Finanças encaminhando planilha de cálculo dos créditos relativos à Parcela Autônoma de Equivalência- PAE, a qual informa o total de créditos, os pagamentos já realizados e o saldo credor em favor do solicitante"
18,18/06/15,19/06/15,"Gostaria de saber se há previsão em chamar os candidatos aprovados no último concurso para servidor, especialmente, para a Comarcade Parnaíba.","Comunicamos o recebimento de seu pedido de informação ao tempo em que informamos que entramos em contato hoje, dia 19/06/2015,com a Coordenação de Recursos Humanos deste Ministério Público e a Coordenadora Adriana Ximenes, nos repassou a informação que,no momento, não há previsão de chamar os candidatos aprovados no último concursos, apenas as reposições em virtude de exoneraçõese vacâncias.Caso necessite de mais informações o senhor deverá entrar em contato diretamente com a referida Coordenação através do endereço: ruaÁlvaro Mendes, nº 2446, centro, cep 64000-120, telefone (86) 3216-4550, ramal 4585, Teresina- PI."
19,22/06/16,23/06/15,QUANDO VAI SAI A LISTA DOS CLASSIFICADO DE ESTAGIÁRIO .,"O resultado do Processo seletivo para estagiários do MP-PI já está disponível no site desta Instituição. Segue, abaixo, o link:
 http://www.mppi.mp.br/internet/index.php?option=com_content&view=article&id=4385:ministerio-publico-divulga-resultado-final-do-processo-seletivo-para-estagiarios&catid=224&Itemid=101"
20,25/06/15,09/07/15,"Solicitação de lista de classificados do concurso do MPPI- Ano 2011, para o cargo de Analista Processual- Comarca Teresina- PI.)Gostaria de solicitar a lista de classificados para o cargo de analista processual - Comarca de Teresina em ordem de classificação numérica","Segue em anexo, a lista de classificados para o cargo de analista processual - Comarca de Teresina referente ao concurso do MP/PI, conforme solicitado. Caso a senhora necessite de mais informações deverá entrar em contato diretamente com o setor de Recursos Humanos deste Ministério Público através do endereço: rua Álvaro Mendes, nº 2294, centro, cep 64000-060, telefone (86) 3216-4550, ramal 4585, Teresina- PI."
21,06/07/15,07/07/17,"GOSTARIA DE SABER GUANDO SAIRÁ O RESULTADO DA HOMOLOGAÇÃO DO TESTE PARA ESTAGIÁRIO DO MINISTÉRIO PUBLICO DO
 PIAUÍ, É PORQUE FIQUEI CLASSIFICADA EM PRIMEIRO LUGAR PARA CAPITÃO DE CAMPOS.","Comunicamos o recebimento de seu pedido de informação ao tempo em que informamos que entramos hoje, dia 07/07/2015 em contato com a Secretária Administrativa deste Ministério, e nos foi informado que o resultado da homologação do teste seletivo para estagiários saiu dia 26 de junho do corrente ano e que provavelmente será divulgado na próxima reunião do Conselho de Procuradores deste Ministério prevista para o mês de agosto.Foi informado ainda que caso a senhora necessite de mais informações deverá entrar em contato diretamente com a referida Secretaria através do endereço: rua Álvaro Mendes, nº 2294, centro, cep 64000-060, telefone (86) 3216-4550, ramal 4582, falar com Laura, Teresina- PI."
22,09/07/15,10/07/15,Gostaria de saber quantos cargos vagos existem atualmente nos quadros do MP para o cargo de analista ministerial- area processual nacomarca de Teresina,"Comunicamos o recebimento de sua manifestação ao tempo em que informação que a senhora poderá coletar as informações referentes ao quantitativo de cargos vagos, bem como outras informações referentes a este Ministério Público acessando nosso portal através do menu: Transparência- Gestão de Pessoas. Segue abaixo o atalho.
 
 
 SITE- MPE/PI
 
 http://www.mp.pi.gov.br/internet/
 
 
 
 Para mais informações a senhora poderá ainda entrar em contato diretamente com o Setor de Recursos Humanos deste Ministério através do endereço: rua Álvaro Mendes, nº 2294, centro, cep 64000-060, telefone (86) 3216-4550, ramal 4585, Teresina- PI.
 
 E-mail: recursoshumanos@mppi.mp.br"
23,24/07/15,01/09/15,"Com base na Lei 12.527, gostaria de obter as seguintes informações: qual é o tempo de serviço médio de promotores e procuradores e amédia da idade de aposentadoria, em base anual (de 1995 a 2014) e em planilha em formato aberto?","A manifestação em referência foi encaminhada através do Memorando nº 11/2015-SIC/PI, à Coordenação de Recursos Humanos do MP/PI.
 
 
 Logo que tivermos maiores informações, voltaremos a entrar em contato. O senhor também poderá entrar em contato diretamente com a referida Coordenação, que está localizada na rua na Rua Álvaro Mendes, 2294, Centro, CEP 64000-060, Teresina- PI, Telefone: (86) 3216-4550, ramal 4585, Teresina- PI.
 
 Comunicamos a REITERAÇÃO de seu pedido de informação referente ao tempo de serviço de Promotores e Procuradores de Justiça deste Ministério, através do Memorando de nº 15/2015 à Coordenação de Recursos Humanos do MP/PI.
 
 Comunicamos o recebimento do memorando de nº 362/2015, advindo do Setor de Recursos Humanos deste Ministério, solicitando prorrogação do prazo para resposta referente a solicitação de informação sobre o tempo de serviço médio de Promotores e Procuradores deste Ministério e a média da idade de aposentadoria dos mesmos, tendo em vista a ausência de informatização de dados referentes aos inativos.
 
 Em atenção à sua manifestação, cadastrada nesta Ouvidoria sob o nº de atendimento 761/2015, comunicamos o recebimento do Memorando nº 400/2015-CRH, da Coordenadoria de Recursos Humanos do MP-PI, encaminhando a planilha em formato aberto (em anexo) contendo a relação de membros do Ministério Público que foram aposentados durante o período de 1995 a 2014."
24,11/08/15,11/08/15,"Gostaria de saber se está disponível, ao exemplo de outros estados da federação, o serviço de inclusão de cadastro para bloqueio de telemarketing para números telefônicos no estado do Piauí.","Comunicamos o recebimento de seu pedido de informação ao tempo em que informamos que entramos em contato hoje, dia 11/08/2015, com o Programa de Defesa do Consumidor- PROCON, onde nos foi repassado que atualmente o setor citado não possui o tipo de serviço em questão, porém está sendo realizada uma análise para verificar a possibilidade de implementação futura.
 
 
 Caso necessite de mais informações orientamos o senhor a entrar em contato diretamente com o Procon, através do endereço: rua Álvaro Mendes, nº 2294, centro, cep 64000-060, telefone (86)3216-4550, ramais: 4558/ 4555 e 4553, Teresina- PI."
25,18/08/15,20/11/15,"Bom dia, possuo um contrato de compra e venda junto a Patrimônio Construções e Empreendimentos e recebi uma cobrança extrajudiciale nela fala sobre um TAC(000148-002/2014) celebrado junto ao MP e gostaria de ter acesso ao mesmo para tomar conhecimento do teor etomar as decisões que achar necessário.","Conforme solicitado, segue em anexo, o Termo de Ajustamento de Conduta relacionado ao Processo Administrativo de nº 000148-002/2014. Caso necessite de mais informações orientamos o senhor a entrar em contato diretamente com o Programa de Defesa do Consumidor- Procon, através do seguinte endereço: Rua Álvaro Mendes, 2294, Centro, CEP 64000-060, Teresina- PI, Telefone: (86) 3216-4550, ramais 4558/4555/4604.
 
 e-mail: procon@mppi.mp.br
 e-mail: procon@mp.pi.gov.br"
26,19/08/15,24/08/15,Gostaria de saber quantos técnicos ministerial foram convocados para a cidade de José de Freitas?,"Comunicamos o recebimento de seu pedido de informação ao tempo em que informamos que entramos em contato com o setor deRecursos Humanos deste Ministério e foi repassado que até o momento foi convocado 01 (um) candidato, para o cargo de TécnicoMinisterial, Área Administrativa, sendo este o servidor Antônio Francisco dos Santos Lima.Caso a senhora necessite de mais informações deverá entrar em contato diretamente com o setor citado através do endereço: rua ÁlvaroMendes, nº 2294, centro, cep 64000-060, telefone (86) 3216-4550, ramais 4585/4616, Teresina- PI."
27,21/07/15,04/08/15,Pedido de Informação referente à execução orçamentária e limite prudencial do Ministério Público do Estado do Piauí dos anos 2010 a 2015.,"A manifestação em referência foi encaminhada através do Memorando nº 10/2015-SIC/PI, à Coordenação de Orçamento e finanças deste Ministério Público do Piauí.
 Em resposta ao requerimento formulado referente ao pedido de informação sobre execução orçamentária e limite prudencial, encaminhamos em anexo, memorando de nº 109/2015, advindo da Coordenadoria de Contabilidade e Finanças deste Ministério Público, com as devidas informações.
 Comunicamos o recebimento do ofício de nº 091.09/2015 com a devida explicação do item 03, referente ao pedido de informação anteriormente encaminhado através do Memorando de nº 10/2015- SIC/MPPI à Coordenação de Orçamento e Finanças deste Ministério. Ressaltamos que a presente explicação foi encaminhada à Coordenação de Orçamento através do Memorando de nº 017/2015- SIC/MPPI, para tomada de providências."
