numero;ano;data_pedido;recurso;situacao_pedido;orgao_solicitacao;descricao;arquivo_pedido;resposta;orgao_resposta;situacao_resposta;data_resposta;arquivos_resposta_pedido;arquivo_1o_recurso;descricao_1o_recurso;resposta_1o_recurso;orgao_1o_recurso;situacao_1o_recurso;data_resp_1o_recurso;arquivos_resposta_1o_recurso;arquivo_2o_recurso;descricao_2o_recurso;resposta_2o_recurso;orgao_2o_recurso;situacao_2o_recurso;data_resp_2o_recurso;arquivos_resposta_2o_recurso;motivo_pedido;sexo_solicitante;escolaridade_solicitante;profissao_solicitante;bairro_solicitante;cidade_solicitante;uf_solicitante;pais_solicitante;;;
20150001534005?;2015;13/01/2015;;Respondido;SECRETARIA DE SAÚDE;Informar se há previsão de nomeação para o cargo de Médico, especialidade Medicina do Trabalho, referente ao Concurso Público de Provas e Títulos da Secretaria de Saúde do Recife que foi homologado no DOM nº. 079 de 05/07/2012.;;Boa tarde. Informamos que, segundo a Secretaria Executiva de Gestão do Trabalho e Educação na Saúde, no momento, não há previsão de nomeação para o citado cargo. As nomeações estão ocorrendo de acordo com a necessidade da rede.;SECRETARIA DE SAÚDE;Respondido;30/01/2015;;;;;;;;;;;;;;;;Outros;F;não informado;não informado;Casa Amarela;Recife;Pernambuco;Brasil;;;
20150001634005?;2015;13/01/2015;;Respondido;SECRETARIA DE SAÚDE;1) Existe hoje, no âmbito da prefeitura do Recife (PCR) , a prestação de serviços terceirizados na área de medicina do trabalho?2) Existem médicos da especialidade medicina do trabalho que fazem parte do quadro funcional da PCR? Se sim, quem são?;;Boa tarde. Informamos que, segundo a Secretaria Executiva de Gestão do Trabalho e Educação na Saúde, não há, nesta Secretaria de Saúde, a prestação de serviços terceirizados na área de medicina do trabalho/ Acrescentamos que fazem parte do quadro funcional desta Secretaria de Saúde 06 Médicos do Trabalho.;SECRETARIA DE SAÚDE;Respondido;30/01/2015;;;;;;;;;;;;;;;;Outros;M;Ensino Superior;Servidor público estadual;Casa Amarela;Recife;Pernambuco;Brasil;;;
20150001733002?;2015;13/01/2015;;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Qual o custo anual do projeto de orientadores de trânsito (amarelinhos)?;;O valor global desta contratação, para o período de 12 meses, é de 15.989.493,87, nele incluídas todas as despesas com pessoal, transporte, carga, descarga, tributos, encargos e outras inerentes a presente avença.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;04/02/2015;;;;;;;;;;;;;;;;Pesquisa;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150001833002?;2015;13/01/2015;;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Existe estudo avaliando a eficácia de melhora na mobilidade viária após a contratação dos orientadores de trânsito (amarelinhos)?;;Segue anexo.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;04/02/2015;2015_1599_18_0_R.pdf;;;;;;;;;;;;;;;Estudo;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150001933999?;2015;13/01/2015;;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;a) Qual o montante do orçamento previsto para 2015 para investimento em estrutura cicloviária?b) Qual o montante do orçamento previsto para 2014 para investimento em estrutura cicloviária?c) Do previsto, qual o percentual executado em 2014?;;A) / O contrato foi encerrado por solicitação da contratada. Estamos preparando uma nova licitação com valor estimado de R$ 800.000,00.B)  R$ 559.500,00C)  53,41%.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;04/02/2015;;;;;;;;;;;;;;;;Estudo;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150002033999?;2015;13/01/2015;;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;a) Qual o montante do orçamento previsto para 2013 para investimento em estrutura cicloviária?b) Do previsto, qual o percentual executado em 2013?;;A) R$ 46.625,00B) 40,72% (R$ 18.965,69);AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;04/02/2015;;;;;;;;;;;;;;;;Estudo;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150002133999?;2015;13/01/2015;;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;a) Quais são os roteiros previstos para as 12 rotas cicloviárias anunciadas pela Prefeitura?b) Qual o cronograma de instalação?;;Segue anexo.;AUTARQUIA DE TRÂNSITO E TRANSPORTE URBANO DO RECIFE;Respondido;09/02/2015;2015_1611_21_0_R.pdf;;;;;;;;;;;;;;;Estudo;M;Mestrado/Doutorado;Servidor público federal;Torre;Recife;Pernambuco;Brasil;;;
20150002260040?;2015;19/01/2015;;Respondido;SECRETARIA DE FINANÇAS;Solicito vistas do processo nº 15.01435.8.14, para poder tirar cópia, o qual se encontra no SETOR DE CONTR. DE PROCESSOS ADM. UTM;;Prezado XXXXXXXXXX,Solicitamos comparecer a esta secretaria para receber cópia digitalizada do processo, trazendo consigo um pendrive, devido ao tamanho do arquivo de aproximadamente 55 MB. Ressaltamos a necessidade de sua presença para a retirada da referida cópia, pois a mesma contém dados sujeitos ao sigilo fiscal que ficarão sob a sua responsabilidade.Atenciosamente,Waldemir Almeida MoreiraATM matr.: 37.248/7;SECRETARIA DE FINANÇAS;Respondido;27/01/2015;;;;;;;;;;;;;;;;Pesquisa;M;não informado;não informado;Madalena;Recife;Pernambuco;Brasil;;;
20150002360040?;2015;19/01/2015;;Respondido;SECRETARIA DE FINANÇAS;Solicito vistas do processo nº 15.01435.8.14, para poder tirar cópia, o qual se encontra no SETOR DE CONTR. DE PROCESSOS ADM. UTM;;Enviado email para o requerente comparecer a esta secretaria para receber cópia digitalizada do processo, trazendo consigo um pendrive, devido ao tamanho do arquivo de aproximadamente 55 MB. Ressaltamos a necessidade de sua presença para a retirada da referida cópia, pois a mesma contém dados sujeitos ao sigilo fiscal que ficarão sob a sua responsabilidade.;SECRETARIA DE FINANÇAS;Respondido;27/01/2015;;;;;;;;;;;;;;;;Pesquisa;M;não informado;não informado;Madalena;Recife;Pernambuco;Brasil;;;
20150002436999?;2015;26/01/2015;;Respondido;SECRETARIA DE TURISMO E LAZER;Sou um estudante da UFPE e estou estudando o desenvolvimento regional gerado pelo carnaval, gostaria de receber dados referente aos investimentos feitos pela prefeitura ao longo de 2000 até o mais recente possível.Desde já, agradeço.;;Para efetuar o atendimento do pleito, necessitamos que seja esclarecido com detalhes os pontos que precisam ser observados por se tratar de um assunto muito abrangente, sendo assim, solicitamos seu contato telefônico e ficamos a disposição para discutirmos os encaminhamentos necessários acerca de sua solicitação.;FUNDACAO DE CULTURA DA CIDADE DO RECIFE;Respondido;13/02/2015;;;;;;;;;;;;;;;;Pesquisa;M;Ensino Médio;Estudante;Paratibe;Paulista;Pernambuco;Brasil;;;
20150002960999?;2015;27/01/2015;;Respondido;SECRETARIA DE FINANÇAS;cópias do Of.619/2014/GP, relativo à Portaria N. 3380 de 28 de novembro de 2014. Conforme petição anexa.;20150127_104726020150002960.pdf;Prezado Senhor,Segue, em anexo, as cópias solicitadas no seu pedido protocolado.Atenciosamente,Waldemir Almeida MoreiraATM matr.: 37.248/7;SECRETARIA DE FINANÇAS;Respondido;28/01/2015;2015_1563_29_0_R.pdf;;;;;;;;;;;;;;;Outros;M;Ensino Superior;Profissional liberal;Paissandu - Ilha Do Leite;Recife;Pernambuco;Brasil;;;
20150003034026?;2015;27/01/2015;;Respondido;SECRETARIA DE SAÚDE;O número de animais alojados atualmente no Centro de Vigilância Ambiental / CVA da Prefeitura do Recife e sua respectiva espécie.;;Boa tarde. Em anexo, segue a resposta à solicitação, segundo parecer da Secretaria Executiva de Vigilância em Saúde.;SECRETARIA DE SAÚDE;Respondido;05/02/2015;2015_1601_30_0_R.txt;;;;;;;;;;;;;;;Pesquisa;M;Ensino Superior;Professor;Poco;Recife;Pernambuco;Brasil;;;
20150003168999?;2015;27/01/2015;;Respondido;GABINETE DO PREFEITO;Segue, em anexo, pedido de informação sobre a CESSÃO DA PRAÇA SERGIO LORETO PARA O GALO DA MADRUGADA.Atenciosamente,Liana Cirne Lins;20150127_180020150003168.pdf;A resposta ao pedido de informação encontrata/se no arquivo anexo.;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;13/02/2015;2015_1641_31_0_R.pdf;;;;;;;;;;;;;;;Outros;F;Mestrado/Doutorado;Servidor público federal;Boa Vista;Recife;Pernambuco;Brasil;;;
20150003279078?;2015;28/01/2015;;Indeferido;SECRETARIA DE SEGURANÇA URBANA;DENÚNCIA: obra irregular de um LAVA JATO,esquina da rua José Trajano X rua Francisco da Cunha, recebeu da Prefeitura uma placa escrito EMBARCO DE OBRA, mas além de tirarem a placa no local devido, ELES AINDA ESTÃO COM A OBRA EM ANDAMENTO DESRESPEITANDO A LEI.;;A manifestação não se enquadra como um PEDIDO DE INFORMAÇÃO e sim como uma denúncia. Razão pela qual será INDEFERIDA.  Entretanto, a Controladoria está encaminhando para a Secretaria de Controle Urbano para as providências cabíveis em razão da gravidade da queixa.;SECRETARIA DE SEGURANÇA URBANA;Indeferido;29/01/2015;;;;;;;;;;;;;;;;Denúncia;F;Ensino Superior;Empregado - setor privado;Boa Viagem;Recife;Pernambuco;Brasil;;;
20150003302024?;2015;29/01/2015;;Respondido;SECRETARIA DE SANEAMENTO;Uma obra irregular, embargada, continua em andamento, burlando a lei, Rua José Trajano esquina com a Rua Francisco da Cunha, que construiu uma fossa a poucos metros de uma  cisterna do Edf.Assum Preto.;;Resposta ao questionamento, informamos que a construção de fossa séptica deverá atender às Normas da ABNT(Associação Brasileira de Normas Técnicas), tanto com relação ao seu dimensionamento, bem como quanto às distâncias mínimas de muros, cisternas e demais requisitos.Informamos, ainda que a SMAS irá realizar vistoria técnica no local para averiguar a real situação em que se encontra e se realmente há irregularidade quanto a sua construção e operação e adoção das medidas cabíveis.Edilene;SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE;Respondido;23/02/2015;;;;;;;;;;;;;;;;Denúncia;F;Ensino Superior;Empregado - setor privado;Boa Viagem;Recife;Pernambuco;Brasil;;;
20150003479078?;2015;29/01/2015;;Indeferido;SECRETARIA DE SEGURANÇA URBANA;Existe uma obra totalmente irregular, já embargada, porém ainda em andamento no terreno vizinho ao edifício onde moro. Neste local foram executados um poço artesiano sem autorização dos órgãos competentes e uma fossa bem próxima à cisterna do edifício.;;A queixa foi encaminhada à Secretaria de Controle Urbano, órgão competente para fazer a fiscalização de posturas urbanas.Atualmente existe em funcionamento a OUVIDORIA GERAL que atende por meio do telefone 08002810040.;SECRETARIA DE SEGURANÇA URBANA;Indeferido;29/01/2015;;;;;;;;;;;;;;;;Denúncia;F;Pós-graduação;Profissional autônomo;Boa Viagem;Recife;Pernambuco;Brasil;;;
20150003568999?;2015;29/01/2015;;Respondido;GABINETE DO PREFEITO;Solicito:1) todos os estudos feitos pela ou para o Município desde 1980 sobre o comércio informal2) estudo(s) e plano de ação em que se baseia a ação da prefeitura para a regulamentação do comércio informal, bem como ata da audiência pública que os discutiu.;;A resposta encontra/se no arquivo anexo.;AUTARQUIA DE SERVIÇOS URBANOS DO RECIFE;Respondido;27/02/2015;2015_1676_35_0_R.pdf;;;;;;;;;;;;;;;Pesquisa;M;Ensino Superior;Servidor público estadual;Madalena;Recife;Pernambuco;Brasil;;;
20150003633028?;2015;29/01/2015;;Respondido;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Obra irregular e após receber a placa de embargada entregue pela prefeitura, ignora a LEI e continua a obra desrespeitando a ordem.  Esta obra está na rua josé trajano,esquina com a rua francisco da cunha, onde em poucos dias funcionará um LAVA JATO irregular.;;A PCR tem a informar que o processo Administrativo de Embargo será encaminhado à Procuradoria Municipal com vista à propositura de Ação Judicial. Quanto ao funcionamento da atividade que porventura venha a funcionar sem o devido Alvará de Localização e Funcionamento, serão adotadas as providências cabíveis.;SECRETARIA DE MOBILIDADE E CONTROLE URBANO;Respondido;02/02/2015;;;;;;;;;;;;;;;;Denúncia;F;Ensino Superior;Empregado - setor privado;Boa Viagem;Recife;Pernambuco;Brasil;;;
20150003702024?;2015;29/01/2015;;Respondido;SECRETARIA DE SANEAMENTO;obra irregular, embargada pela PCR, mas continuam trabalhando, na rua José Trajano com a  Rua Francisco da Cunha, construiu uma fossa  no limite do muro do prédio Assum Preto, a poucos metros da cisterna do mesmo.;;Pedido de informação/queixa já respondido por meio do Pedido de Informação  N  201500033020242;SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE;Respondido;25/02/2015;;;;;;;;;;;;;;;;Denúncia;F;Ensino Superior;Empregado - setor privado;Boa Viagem;Recife;Pernambuco;Brasil;;;
20150003868999?;2015;30/01/2015;;Respondido;GABINETE DO PREFEITO;Há cumprimento à Lei 11.445/2007 / que institui as Diretrizes Básicas do Esgotamento Sanitário?Esta Lei estabelece que todos os Municípios do Brasil devem elaborar um Plano Municipal de Esgotamento Sanitário.Vide pedido detalhado em anexo.Att,;20150130_185826320150003868.txt;Resposta ao pedido no arquivo anexo.;SECRETARIA DE SANEAMENTO;Respondido;25/02/2015;2015_1662_38_0_R.pdf;;;;;;;;;;;;;;;Estudo;M;Ensino Superior;Membro de ONG nacional;Casa Forte;Recife;Pernambuco;Brasil;;;
